FID	IID	CLASS	PRO	TOL	MIX	VOL
NE16451	NE16451	HARD	13.6	NA	7	905
NE16467	NE16467	MIXED	11.5	NA	4.9	985
NE16468	NE16468	MIXED	10.7	NA	8.5	1010
NE16552	NE16552	HARD	11.9	NA	4	942.5
NE16562	NE16562	HARD	11.5	NA	6	960
NE16563V	NE16563V	HARD	11.9	NA	5.8	1020
NE16578	NE16578	MIXED	11.4	NA	8	940
NE16579	NE16579	HARD	11.7	NA	4.8	950
NE16587	NE16587	HARD	10.8	NA	6	1030
NE16593	NE16593	MIXED	11.3	NA	5.5	992.5
NE16659	NE16659	HARD	12.2	NA	9.3	995
NE16687	NE16687	HARD	12.6	NA	5.1	1027.5
NE17332	NE17332	HARD	11.95	5.31	8.19	855
NE17415	NE17415	HARD	11.8	NA	6.5	872.5
NE17433	NE17433	MIXED	11.1	NA	10.5	923.8
NE17441	NE17441	MIXED	10.9	NA	9.9	930
NE17443	NE17443	MIXED	11.2	NA	8.9	882.5
NE17452	NE17452	HARD	12.6	NA	9	895
NE17462	NE17462	HARD	11.99	4.25	5.51	1010
NE17470	NE17470	MIXED	11.9	NA	6.8	930
NE17483	NE17483	HARD	11.7	NA	6.3	902.5
NE17486	NE17486	MIXED	10.3	NA	7	877.5
NE17506	NE17506	HARD	11.7	NA	8.5	897.5
NE17512V	NE17512V	MIXED	11.8	NA	9.3	858.8
NE17524	NE17524	MIXED	11.5	NA	10.1	887.5
NE17528	NE17528	MIXED	11.5	NA	5.7	881.3
NE17534	NE17534	HARD	12.75	3.88	4.87	925
NE17544	NE17544	HARD	11.9	3.13	3.72	790
NE17545	NE17545	MIXED	10.9	NA	14.4	786.3
NE17563	NE17563	MIXED	10.8	NA	7.7	889.8
NE17572	NE17572	MIXED	12.29	4.25	8.45	880
NE17576	NE17576	MIXED	11.6	NA	7.8	872.5
NE17578	NE17578	MIXED	11.4	NA	5.9	935
NE17589	NE17589	HARD	11.98	3.94	4.6	915
NE17590	NE17590	MIXED	11.4	NA	5.3	920
NE17608	NE17608	HARD	11.7	NA	9	900
NE17614	NE17614	HARD	11.1	NA	6.3	925
NE17616	NE17616	HARD	11.8	NA	4.8	930
NE17626	NE17626	HARD	11.27	7	8.4	815
NE17627	NE17627	MIXED	11.3	NA	12.1	896.3
NE18412	NE18412	HARD	10.97	4.06	5.5	845
NE18434	NE18434	HARD	11.08	2.25	3.18	795
NE18435	NE18435	HARD	11.98	2.5	3	935
NE18445	NE18445	HARD	12.85	6.5	9.13	875
NE18455	NE18455	HARD	11.37	4.75	7.96	825
NE18466	NE18466	HARD	11.59	6	8.77	840
NE18469	NE18469	HARD	11.47	5.63	6.95	890
NE18472	NE18472	HARD	11.71	5.06	5.97	810
NE18509	NE18509	HARD	11.11	4.06	5.6	845
NE18517	NE18517	HARD	11.71	4	5.75	850
NE18544	NE18544	HARD	12.59	4.63	6.27	825
NE18562	NE18562	MIXED	11.4	4.69	5.76	850
NE18573	NE18573	HARD	12.05	4.25	6.41	855
NE18583	NE18583	HARD	11.95	4.38	5.36	835
NE18625	NE18625	HARD	12.65	4.5	5.01	830
NE18640	NE18640	HARD	11.98	4.94	7.46	800
NE18644	NE18644	HARD	11.89	3.75	5.61	825
NH09655	NH09655	HARD	10.6	3.7	5.26	840
NH10665	NH10665	HARD	12.2	4.3	8.31	788
NH11489	NH11489	HARD	13.3	4.3	4.27	758
NH11490	NH11490	HARD	12.3	4.6	6.6	864
NH11563	NH11563	HARD	11.7	4.8	8.52	894
NH11565	NH11565	HARD	12.8	4.4	6.08	925
NH11569	NH11569	HARD	12.3	4.3	6.38	830
NH11638	NH11638	HARD	11.4	4.9	7.78	855
NH11668	NH11668	HARD	11.2	3.3	5.11	701
NH144913	NH144913	HARD	11.4	4.1	8.5	925
NH144913-3	NH144913_3	HARD	11.2	NA	7.5	905
NH144922	NH144922	HARD	12.4	4.6	7.5	965
NH17450	NH17450	MIXED	11.1	NA	5.5	962.5
NHH11569	NHH11569	HARD     	12.1	4.3	4.17	890
NI04420	NI04420	HARD	13.1	4.5	5.03	953
NI04421	NI04421	HARD	12.5	4	7.37	878
NI07703	NI07703	HARD	12.5	3.5	5.68	858
NI08708	NI08708	HARD	12.9	4.4	6.95	908
NI09710	NI09710	HARD	9.9	3.3	3.01	793
NI09710H	NI09710H	HARD     	12.8	3.1	3.14	913
NI10712	NI10712	HARD	12.9	4.3	8.32	865
NI10718W	NI10718W	HARD	12.2	4.3	9.11	848
NI12702W	NI12702W	HARD	13.4	3.5	4	840
NI12702W-4	NI12702W_4	HARD	13.2	NA	4.4	1011.3
NI13706	NI13706	HARD	12	3.2	4.06	960
NI14729	NI14729	MIXED	12	5	4.08	940
NI14735	NI14735	HARD	11.6	4.7	9.8	990
NI15713	NI15713	HARD	11.7	4.3	6.3	870
NI17410	NI17410	MIXED	12.9	NA	8.1	870
NW03666	NW03666	HARD	11.2	4.3	10.35	890
NW07505	NW07505	HARD	12.5	4.4	12.82	903
NW09627	NW09627	HARD	11.3	4.4	6.76	878
NW10487	NW10487	HARD	12.3	4.4	6.42	945
NW11510	NW11510	HARD	14.9	4.4	3.79	863
NW11511	NW11511	HARD	13.6	4.5	4.52	730
NW11590	NW11590	HARD	12	4.1	5.65	873
NW11598	NW11598	HARD	13.4	4.3	10.83	905
NW13455	NW13455	HARD	13	3.9	3.37	911
NW13493	NW13493	HARD	13.8	4	4.88	946
NW13499	NW13499	HARD	12.8	4.8	8.27	918
NW13570	NW13570	HARD	12.4	3.3	4.5	910
NW13574	NW13574	HARD	14.4	4.3	6.79	965
NW13669	NW13669	HARD	13.3	3.4	4.71	908
NW15404	NW15404	HARD	11.3	3.9	6	942.5
NW15443	NW15443	HARD	11.2	4	10	860
NW15573	NW15573	HARD	11.2	4.1	5	990
NW15677	NW15677	HARD	13.7	3.3	4	1015
OVERLAND	OVERLAND	HARD	11.8	3.9	3.22	790
PSB13NEDH	PSB13NEDH	MIXED	9.7	NA	5.8	860
PSB13NEDH-14	PSB13NEDH_14	HARD	11.1	3.8	4.8	880
LCH13NEDH	LCH13NEDH	MIXED	11.8	3.5	7.2	891
PANHANDLE	PANHANDLE	HARD	10.5	NA	4.8	880
NE05548	NE05548	HARD	13.6	4.8	6.78	893
ROBIDOUS		HARD	NA	NA	NA	NA
Robidous 	ROBIDOUS 	HARD	12.63	4.81	6.25	880
ROBIDOUX	ROBIDOUX	HARD	10.5	NA	6	867.5
RUTH	RUTH	HARD	10.3	NA	5.3	957.5
NE10589	NE10589	HARD	11.6	4.4	4.92	785
SCOUT66	SCOUT66	HARD	12.9	4.3	4.43	915
SETTLERCL	SETTLERCL	HARD	11.1	4.5	9.02	813
WELSLEY	WELSLEY	HARD	12.6	5.4	8.67	775
Camelot	CAMELOT	HARD	13.9	4.9	6.65	825
CHEYENNE	CHEYENNE	HARD	11.9	4.3	4.31	768
FREEMAN	FREEMAN	MIXED	9.8	NA	5.8	852.5
GOODSTREAK	GOODSTREAK	HARD	12.4	2.9	3.28	873
